sample_id	Pb_2hr.dat	Pb_4hr.dat	Pb_6hr.dat	Pb_8hr.dat	Pb_10hr.dat	Pb_12hr.dat	Pb_14hr.dat	Pb_16hr.dat	Pb_18hr.dat	Pb_20hr.dat	Pb_22hr.dat	Pb_24hr.dat
PBANKA_0914300	-0.868624423	0.398946351	-0.323001872	-0.168867651	-0.214291646	-0.419703609	-0.147764659	0.129199458	-0.544429127	-0.576509925	-0.48670373	-0.803870729
PBANKA_0714200	0.453356294	0.187190645	0.119576554	-0.542998234	0.149924489	-0.542908368	-0.031111619	-0.079965053	-1.264362648	-1.318418694	-0.968467083	-1.216039895
PBANKA_0417500	0.1430625	-0.446791229	0.325342172	0.588253976	0.497809668	0.131967397	-0.611258172	-0.788331103	-0.597941462	-1.297041822	-0.664891844	-0.38771001
PBANKA_0903600	-0.032769926	0.340699759	0.048292784	0.316155093	0.130632669	0.378807336	0.207260767	-0.367902154	-0.616858794	-0.650377553	-0.590648414	-0.806045887
PBANKA_0203200	0.358915671	0.080425577	0.029014029	0.251099155	-0.057723066	0.371650176	-0.166992666	0.007614924	0.459460408	0.433520902	0.786289072	1.185193618
PBANKA_1309500	0.529417568	-0.153707641	0.427757426	0.378870667	0.287785626	-0.293955757	-0.451667402	-0.895469875	-0.238677606	-0.654480674	-0.146076551	0.320386713
PBANKA_0711900	0.280522763	0.030084125	0.454321626	0.327811249	0.695837459	0.159533703	-0.791017931	-0.822387451	-1.198187982	-2.254188837	-1.563950145	-2.312745555
PBANKA_1007100	0.414800417	0.007466383	0.190081207	0.153888846	0.241993209	0.183783276	0.287883841	0.217889541	-0.218143819	-0.309403898	-0.47680475	-0.35069137
PBANKA_1412600	0.29372634	0.648806991	0.243388295	0.492868304	-0.119745272	0.347574174	0.545640432	0.621601602	-0.473444814	-0.28137588	-0.623322812	-0.390061637
PBANKA_1444000	-0.564966143	-0.058474022	0.405857599	0.126348689	0.660071766	0.285884149	-0.22052451	-0.904889182	-1.651031805	-2.260562792	-2.189898914	-2.629081714
PBANKA_1113500	-0.122846041	0.299644041	-0.093685286	-0.219268871	0.070827513	0.12503427	0.30827772	-0.063766369	-0.358010403	-0.586080959	-0.70132058	-0.901628795
PBANKA_1109700	-0.665109977	-0.559852511	-0.29172228	-0.239738137	0.373351664	0.009141231	0.057127787	0.289108926	0.050806537	0.257315104	-0.056508207	-0.407958934
PBANKA_0910200	-0.761846474	0.546532282	-0.834674048	-1.220363019	-0.638357766	-1.488003866	-1.792514566	-2.143000186	-2.078774361	-0.903596699	-1.060966026	-0.477711786
PBANKA_1106700	0.431183235	0.248649152	0.230084567	0.327585257	0.355250748	-0.075276614	-0.030733152	-0.672959848	-0.742520274	-1.984874031	0.101562624	-0.916605885
PBANKA_0212200	-0.039940485	0.125883474	0.116937321	-0.002203339	0.20225313	0.330794356	0.071650898	0.193626564	0.301356994	-0.056466661	-0.497817483	-0.6810893
PBANKA_0109100	0.168733997	0.228618848	0.40830519	0.2223178	0.236826405	0.114420139	0.263929973	0.00225986	-0.494940533	-0.897396601	-0.845103789	-1.389889923
PBANKA_1464500	0.214641514	-0.180689298	-0.475515901	-0.207712803	-0.473500194	-0.501249085	-0.76609417	-0.0207461	0.665699421	1.00029552	0.958306418	1.631053569
PBANKA_1107900	-0.49318001	0.050122119	-0.118429155	0.022948703	-0.169564842	-0.10609052	-0.109090981	-0.273346408	-0.077644161	0.024316255	0.709191259	1.453323012
PBANKA_1023400	0.508476904	0.282108922	0.251498707	0.409851472	-0.121777765	-0.207270984	0.454786072	-0.113492711	-0.733899074	-0.478084123	-0.9310619	-1.07911627
PBANKA_1107300	0.194185507	0.913962129	-0.088427873	-0.221836847	0.324086315	0.135340686	-0.269569286	-0.110066296	-0.310619741	-0.177144486	-0.689839913	-0.214303727
PBANKA_0923500	0.394377815	0.397278796	-0.03203239	0.185435269	-0.511608312	-0.165015764	-0.26176101	-0.039203153	0.185906798	0.182259165	0.68736785	1.641790536
PBANKA_1416300	0.365056863	0.598251792	0.534334351	0.231483955	0.088971088	0.091269864	-0.260969492	-0.559210245	-0.692177069	-0.921516366	-0.397903934	-0.128375154
PBANKA_0717300	0.252268546	0.350499343	0.004204877	-0.16750852	0.095291105	0.6490429	-0.166326431	-0.302688078	0.061244317	0.033986675	-0.182848168	0.156925683
PBANKA_1350500	-0.381758036	-0.15079027	-0.47086085	-0.150989588	-0.003644878	0.22106791	0.126300401	0.301743108	0.055038133	0.247155061	0.305824898	0.104008179
PBANKA_0109200	0.357867843	-0.126323191	-0.084887633	0.359709057	-0.096890373	-0.160921692	-0.340141764	-0.378377117	-0.182149712	0.231015118	1.2710917	1.022534001
