"","x"
"513","PBANKA_0940600"
"514","PBANKA_0941900"
"515","PBANKA_0942200"
"516","PBANKA_0942500"
"517","PBANKA_0943400"
"518","PBANKA_0943500"
"519","PBANKA_1000700"
"520","PBANKA_1000800"
"521","PBANKA_1001300"
"522","PBANKA_1001600"
"523","PBANKA_1002300"
"524","PBANKA_1002700"
"525","PBANKA_1003600"
"526","PBANKA_1003700"
"527","PBANKA_1003900"
"528","PBANKA_1004000"
"529","PBANKA_1005200"
"530","PBANKA_1005400"
"531","PBANKA_1006000"
"532","PBANKA_1006100"
"533","PBANKA_1006500"
"534","PBANKA_1006900"
"535","PBANKA_1007000"
"536","PBANKA_1007300"
"537","PBANKA_1008000"
"538","PBANKA_1008300"
"539","PBANKA_1008600"
"540","PBANKA_1008800"
"541","PBANKA_1009200"
"542","PBANKA_1009800"
"543","PBANKA_1010000"
"544","PBANKA_1010200"
"545","PBANKA_1010400"
"546","PBANKA_1010600"
"547","PBANKA_1010800"
"548","PBANKA_1011500"
"549","PBANKA_1012000"
"550","PBANKA_1012200"
"551","PBANKA_1012300"
"552","PBANKA_1012800"
"553","PBANKA_1013100"
"554","PBANKA_1013700"
"555","PBANKA_1014000"
"556","PBANKA_1014400"
"557","PBANKA_1014500"
"558","PBANKA_1015100"
"559","PBANKA_1015900"
"560","PBANKA_1016300"
"561","PBANKA_1017700"
"562","PBANKA_1017900"
"563","PBANKA_1018000"
"564","PBANKA_1018500"
"565","PBANKA_1019500"
"566","PBANKA_1019700"
"567","PBANKA_1020100"
"568","PBANKA_1020400"
"569","PBANKA_1020700"
"570","PBANKA_1021000"
"571","PBANKA_1021200"
"572","PBANKA_1021800"
"573","PBANKA_1022400"
"574","PBANKA_1022800"
"575","PBANKA_1023000"
"576","PBANKA_1023500"
"577","PBANKA_1024100"
"578","PBANKA_1025300"
"579","PBANKA_1025400"
"580","PBANKA_1025800"
"581","PBANKA_1026200"
"582","PBANKA_1026800"
"583","PBANKA_1027700"
"584","PBANKA_1028700"
"585","PBANKA_1029300"
"586","PBANKA_1029700"
"587","PBANKA_1029900"
"588","PBANKA_1030000"
"589","PBANKA_1030100"
"590","PBANKA_1030300"
"591","PBANKA_1030500"
"592","PBANKA_1030900"
"593","PBANKA_1031000"
"594","PBANKA_1031100"
"595","PBANKA_1031300"
"596","PBANKA_1032100"
"597","PBANKA_1032200"
"598","PBANKA_1032900"
"599","PBANKA_1033100"
"600","PBANKA_1033300"
"601","PBANKA_1035400"
"602","PBANKA_1035600"
"603","PBANKA_1036200"
"604","PBANKA_1036700"
"605","PBANKA_1037600"
"606","PBANKA_1038100"
"607","PBANKA_1039200"
"608","PBANKA_1039500"
"609","PBANKA_1040000"
"610","PBANKA_1100860"
"611","PBANKA_1101000"
"612","PBANKA_1101100"
"613","PBANKA_1101400"
"614","PBANKA_1102100"
"615","PBANKA_1102400"
"616","PBANKA_1102500"
"617","PBANKA_1103000"
"618","PBANKA_1103500"
"619","PBANKA_1104400"
"620","PBANKA_1104500"
"621","PBANKA_1105100"
"622","PBANKA_1105400"
"623","PBANKA_1105700"
"624","PBANKA_1106000"
"625","PBANKA_1106100"
"626","PBANKA_1106500"
"627","PBANKA_1106700"
"628","PBANKA_1107600"
"629","PBANKA_1107700"
"630","PBANKA_1108200"
"631","PBANKA_1108500"
"632","PBANKA_1109000"
"633","PBANKA_1109200"
"634","PBANKA_1109300"
"635","PBANKA_1109700"
"636","PBANKA_1110100"
"637","PBANKA_1110600"
"638","PBANKA_1110700"
"639","PBANKA_1112800"
"640","PBANKA_1113100"
"641","PBANKA_1114900"
"642","PBANKA_1115300"
"643","PBANKA_1115400"
"644","PBANKA_1115700"
"645","PBANKA_1115800"
"646","PBANKA_1116400"
"647","PBANKA_1116500"
"648","PBANKA_1116700"
"649","PBANKA_1116900"
"650","PBANKA_1117000"
"651","PBANKA_1117200"
"652","PBANKA_1117400"
"653","PBANKA_1117800"
"654","PBANKA_1118100"
"655","PBANKA_1118800"
"656","PBANKA_1119300"
"657","PBANKA_1119400"
"658","PBANKA_1119600"
"659","PBANKA_1120100"
"660","PBANKA_1120200"
"661","PBANKA_1120600"
"662","PBANKA_1120700"
"663","PBANKA_1120800"
"664","PBANKA_1121300"
"665","PBANKA_1121500"
"666","PBANKA_1121900"
"667","PBANKA_1123000"
"668","PBANKA_1123600"
"669","PBANKA_1124600"
"670","PBANKA_1125500"
"671","PBANKA_1125600"
"672","PBANKA_1126200"
"673","PBANKA_1126800"
"674","PBANKA_1127000"
"675","PBANKA_1127200"
"676","PBANKA_1127900"
"677","PBANKA_1129800"
"678","PBANKA_1130100"
"679","PBANKA_1130300"
"680","PBANKA_1130700"
"681","PBANKA_1132900"
"682","PBANKA_1133300"
"683","PBANKA_1133400"
"684","PBANKA_1134100"
"685","PBANKA_1134400"
"686","PBANKA_1134500"
"687","PBANKA_1134700"
"688","PBANKA_1135800"
"689","PBANKA_1136300"
"690","PBANKA_1136600"
"691","PBANKA_1137400"
"692","PBANKA_1137700"
"693","PBANKA_1137800"
"694","PBANKA_1138000"
"695","PBANKA_1138700"
"696","PBANKA_1139100"
"697","PBANKA_1139200"
"698","PBANKA_1139600"
"699","PBANKA_1140700"
"700","PBANKA_1140800"
"701","PBANKA_1140900"
"702","PBANKA_1141100"
"703","PBANKA_1142400"
"704","PBANKA_1143000"
"705","PBANKA_1144200"
"706","PBANKA_1144500"
"707","PBANKA_1144600"
"708","PBANKA_1144700"
"709","PBANKA_1145600"
"710","PBANKA_1145900"
"711","PBANKA_1201600"
"712","PBANKA_1201700"
"713","PBANKA_1201900"
"714","PBANKA_1202100"
"715","PBANKA_1202200"
"716","PBANKA_1202500"
"717","PBANKA_1203000"
"718","PBANKA_1203200"
"719","PBANKA_1203700"
"720","PBANKA_1204300"
"721","PBANKA_1204400"
"722","PBANKA_1205900"
"723","PBANKA_1207000"
"724","PBANKA_1207700"
"725","PBANKA_1208600"
"726","PBANKA_1209700"
"727","PBANKA_1210200"
"728","PBANKA_1210600"
"729","PBANKA_1210700"
"730","PBANKA_1211200"
"731","PBANKA_1211500"
"732","PBANKA_1211800"
"733","PBANKA_1212200"
"734","PBANKA_1212300"
"735","PBANKA_1213000"
"736","PBANKA_1213100"
"737","PBANKA_1213300"
"738","PBANKA_1213600"
"739","PBANKA_1213700"
"740","PBANKA_1213900"
"741","PBANKA_1214000"
"742","PBANKA_1214300"
"743","PBANKA_1215400"
"744","PBANKA_1215500"
"745","PBANKA_1216500"
"746","PBANKA_1216700"
"747","PBANKA_1217100"
"748","PBANKA_1217500"
"749","PBANKA_1217600"
"750","PBANKA_1217900"
"751","PBANKA_1218100"
"752","PBANKA_1218200"
"753","PBANKA_1218400"
"754","PBANKA_1218900"
"755","PBANKA_1219000"
"756","PBANKA_1219200"
"757","PBANKA_1219300"
