"","status","family","pval","qval"
"PBANKA_0622921","OK","negbinomial.size",1.73235660371775e-31,6.86968998026006e-31
"PBANKA_0622941","OK","negbinomial.size",3.5778959670877e-24,1.03208537512145e-23
"PBANKA_0622961","OK","negbinomial.size",2.47886801563885e-28,8.60371695568815e-28
"PBANKA_0623100","OK","negbinomial.size",9.77085794868362e-07,1.37253501314978e-06
"PBANKA_0623150","OK","negbinomial.size",4.96138880452703e-06,6.76553018799141e-06
"PBANKA_0623200","OK","negbinomial.size",4.6583213243937e-64,5.25202894416937e-63
"PBANKA_0623300","OK","negbinomial.size",4.11180376945342e-38,2.0984797344104e-37
"PBANKA_0623500","OK","negbinomial.size",7.23711596710363e-07,1.02244267348516e-06
"PBANKA_0700761","OK","negbinomial.size",2.10449870360473e-20,5.20094593655897e-20
"PBANKA_0701200","OK","negbinomial.size",2.3164298554412e-27,7.80437793092981e-27
"PBANKA_0701600","OK","negbinomial.size",2.68723806606064e-10,4.33222959248095e-10
"PBANKA_0701900","OK","negbinomial.size",4.12914617542371e-138,2.09493445664879e-136
"PBANKA_0702500","OK","negbinomial.size",1.90567425573284e-20,4.72311507347579e-20
"PBANKA_0702800","OK","negbinomial.size",2.83797760254254e-32,1.18249066772606e-31
"PBANKA_0702900","OK","negbinomial.size",3.52733824795767e-07,5.08750708840049e-07
"PBANKA_0703100","OK","negbinomial.size",2.89739564953985e-18,6.61987747742549e-18
"PBANKA_0703400","OK","negbinomial.size",6.8136122018164e-16,1.39590036201108e-15
"PBANKA_0703700","OK","negbinomial.size",3.35850962881832e-08,5.02030252141386e-08
"PBANKA_0703900","OK","negbinomial.size",5.02340313938834e-23,1.38203674887478e-22
"PBANKA_0704700","OK","negbinomial.size",5.67629889836229e-18,1.28330479681192e-17
"PBANKA_0704800","OK","negbinomial.size",5.76006050342562e-16,1.18710924353754e-15
"PBANKA_0704900","OK","negbinomial.size",5.90749432516037e-16,1.21604149294769e-15
"PBANKA_0705100","OK","negbinomial.size",2.79569400297484e-06,3.84882055477383e-06
"PBANKA_0705200","OK","negbinomial.size",1.51305285950386e-11,2.55883939474918e-11
"PBANKA_0706200","OK","negbinomial.size",2.70517525235156e-33,1.16369758361756e-32
"PBANKA_0706500","OK","negbinomial.size",7.11620411377986e-40,3.89696891945088e-39
"PBANKA_0706600","OK","negbinomial.size",5.57248537284359e-82,9.80871149811754e-81
"PBANKA_0706900","OK","negbinomial.size",1.25530726097524e-06,1.75194581325428e-06
"PBANKA_0707100","OK","negbinomial.size",4.13937755113682e-215,1.19007104595183e-212
"PBANKA_0707700","OK","negbinomial.size",2.29393749003102e-21,5.91486124111138e-21
"PBANKA_0708400","OK","negbinomial.size",2.06494453871206e-11,3.48535159420577e-11
"PBANKA_0709100","OK","negbinomial.size",1.81467576640255e-10,2.95871048869981e-10
"PBANKA_0710500","OK","negbinomial.size",4.57016917161096e-21,1.15934438544543e-20
"PBANKA_0710700","OK","negbinomial.size",1.22912972776811e-34,5.56495742887138e-34
"PBANKA_0711100","OK","negbinomial.size",2.75747729753291e-63,3.04913355015659e-62
"PBANKA_0711400","OK","negbinomial.size",1.06178979814684e-124,4.07019422622954e-123
"PBANKA_0711600","OK","negbinomial.size",7.27549124422562e-95,1.58863574636572e-93
"PBANKA_0711900","OK","negbinomial.size",2.69804700107455e-10,4.34559390929374e-10
"PBANKA_0712800","OK","negbinomial.size",3.23165943641242e-31,1.27565504068911e-30
"PBANKA_0713000","OK","negbinomial.size",2.59489890546867e-15,5.15691314738876e-15
"PBANKA_0713200","OK","negbinomial.size",4.94317148329254e-75,7.28800923818772e-74
"PBANKA_0713300","OK","negbinomial.size",2.29170039359472e-10,3.7119090882168e-10
"PBANKA_0714000","OK","negbinomial.size",9.70426177543584e-24,2.74423796108636e-23
"PBANKA_0714100","OK","negbinomial.size",4.18207597905426e-21,1.06402375573283e-20
"PBANKA_0714200","OK","negbinomial.size",2.73372172669564e-25,8.34631854610617e-25
