"","pf.33","pf.34","pf.69","pf.83","pf.98","pf.177","pf.243","pf.260","pf.263","pf.264","pf.277","pf.280","pf.338","pf.340","pf.341","pf.353","pf.354","pf.356","pf.357","pf.370","pf.371","pf.373"
"PF3D7_0917400",1,0,1,0,0,0,0,0,1,0,1,2,0,0,1377,0,1,0,624,0,0,2
"PF3D7_0917500",0,92,0,0,0,0,9,38,0,0,0,12,0,0,6,127,0,0,311,0,0,13
"PF3D7_0917600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
"PF3D7_0917700",0,0,0,0,0,2,0,0,13,0,0,360,0,0,0,0,0,0,0,0,0,0
"PF3D7_0917800",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0
"PF3D7_0917900",0,0,283,9,0,13,0,0,100,122,0,258,140,0,0,0,0,0,362,1,0,0
"PF3D7_0918000",0,0,0,0,0,10,0,0,0,0,0,0,0,374,0,0,0,29,0,0,31,2
"PF3D7_0918100",44,0,0,114,0,2,0,0,2,59,0,0,77,873,0,0,30,146,0,0,54,0
"PF3D7_0918200.1",7,0,0,47,0,15,0,0,34,13,0,0,6,229,0,236,6,97,0,129,69,0
"PF3D7_0918300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"PF3D7_0918400",0,48,0,0,0,11,136,0,0,7,1,0,2,98,0,0,0,9,0,26,0,10
"PF3D7_0918600",7,3,0,6,1,7,12,0,27,52,1185,9,25,11,54,14,76,50,1,4,14,23
"PF3D7_0918700",0,0,0,88,0,19,0,0,38,0,1,0,0,21,0,0,3,11,0,5,26,0
"PF3D7_0918800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0918900",14,0,112,35,0,38,937,0,146,0,0,22,0,24,0,0,13,14,0,27,0,0
"PF3D7_0919000",0,38,43,0,0,0,325,81,0,0,0,0,0,0,89,0,0,0,0,0,0,0
"PF3D7_0919100",0,0,0,104,0,1,0,0,62,3,0,0,79,89,0,0,39,18,0,0,35,0
"PF3D7_0919200",0,0,0,0,0,0,0,61,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"PF3D7_0919300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PF3D7_0919400",0,3,0,0,0,0,0,875,0,0,0,0,0,0,2533,328,0,0,230,0,0,154
"PF3D7_0919500",0,0,0,3,0,34,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0
