"","pm.19","pm.51","pm.65","pm.67","pm.82","pm.103","pm.114","pm.115","pm.145","pm.146","pm.161","pm.162","pm.178"
"PmUG01_00030300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00030400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00030600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00030700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00030800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00031000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00031100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00031200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00031300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00031400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00031500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00031600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00031700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00031900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00032000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00032200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00032300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00032500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00032700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00032800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00032900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00033000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00033100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00033200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00033300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00033600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00033700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00033800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00033900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00034200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00034300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00034400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00034500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00034600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00034700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00034900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00035000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00035200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00035300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00035600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00035700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00035900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00036200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00036300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00036400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00036600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00036700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00036900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00037000",0,0,0,0,0,0,0,0,0,0,0,0,0
